,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
1223,Lgmiexiville,Wfcxbland,12.783,43.735,9.325,51.244,84.051,32.472,12.933,96.607,51.249,1.49,28.09,12.391,92.829,5.967,51.008,18.985,90.407,109.996,72.992,0.924,104.263,7.062,94.937,36.537,4.479,57.215,26.841,10,66.617,3.741,79.416,53.581,45.434,27.181,116.263,32.277,0.01,6.574,68.857,71.32,91.625,40.346,76.175,96.955,110.438,12.293,54.569,0.658,16.714,5.47,70.528,79.68,90.174,61.067,47.032,1
1224,Fphkrzville,Ixiyyhland,13.675,38.07,7.672,59.934,108.151,71.924,13.641,17.643,79.83,1.482,52.381,4.973,27.952,86.475,13.873,55.939,88.176,54.539,41.037,2.504,9.703,110.662,61.194,78.011,124.708,1.536,5.109,47.519,42.443,2.021,19.566,0.758,26.701,10.263,28.987,10.627,58.216,14.724,55.226,60.319,53.869,29.11,127.836,28.646,4.962,21.926,21.126,37.505,50.535,18.224,21.014,15.441,45.945,18.033,45.416,1
1225,Vrnjwszville,Txvvland,10.972,41.182,9.707,58.84,67.033,40.633,25.907,47.42,83.641,2.08,30.829,100.927,27.782,0.249,53.003,68.179,37.782,16.589,76.544,1.682,50.927,83.604,57.857,5.572,0.265,78.755,6.483,49.703,16.932,3.717,46.141,82.608,121.222,51.108,6.831,17.737,26.689,66.472,132.202,121.211,53.331,81.507,14.389,134.795,34.961,8.058,129.057,98.881,60.381,24.718,63.44,68.272,41.619,74.255,124.352,0
1226,Uovylgville,Xtmamxland,7.2,36.414,7.898,13.863,20.517,51.182,51.104,120.716,62.921,1.156,110.125,0.183,22.948,115.042,43.81,84.439,116.998,20.262,34.051,1.6,62.222,31.96,7.458,59.128,46.64,41.47,63.604,39.478,87.497,0.717,135.954,65.607,103.097,39.229,89.407,65.242,28.415,30.855,7.765,87.79,15.349,26.064,0.874,63.49,3.55,55.911,4.722,25.156,47.027,16.046,27.203,17.806,115.879,38.589,79.015,1
1227,Alyptville,Kfcfdcland,3.447,28.875,8.949,45.18,10.103,22.667,75.717,82.25,138.623,1.054,65.652,34.479,52.449,52.512,44.191,78.444,13.407,55.837,58.805,0.055,19.657,10.403,14.907,15.455,32.955,0.45,43.612,20.684,71.102,2.671,85.382,18.257,64.148,24.071,32.371,32.581,82.697,44.506,94.879,42.599,4.155,64.935,70.029,18.752,86.666,89,62.899,14.462,61.151,66.941,31.276,82.992,91.734,72.354,22.706,1
1228,Xbdztusville,Ewsszkland,14.816,34.121,8.213,23.443,49.947,88.877,54.724,123.989,41.098,1.769,14.026,58.935,51.449,9.74,58.634,19.881,72.455,2.205,21.938,2.592,14.525,74.569,98.106,36.5,108.848,117.021,57.892,10.896,1.02,2.188,8.996,7.905,62.43,82.525,18.877,10.82,5.398,61.262,33.37,64.447,65.843,42.591,53.249,61.081,3.244,11.279,61.582,50.035,2.363,50.576,86.322,117.895,2.659,104.406,80.668,1
1229,Xvxypcyville,Flippland,9.159,38.652,10.079,45.976,66.625,44.022,33.849,5.608,18.43,1.376,23.131,16.849,74.593,42.002,106.535,17.114,40.707,67.454,35.423,1.02,49.099,40.949,42.574,37.601,7.87,18.811,100.638,54.601,46.896,2.956,80.02,42.627,43.352,68.468,56.769,82.679,28.42,99.201,69.421,61.384,51.366,40.182,57.098,24.543,20.699,4.549,14.401,37.893,12.158,38.077,22.771,106.586,70.408,40.685,15.199,1
1230,Lgmiexiville,Wfcxbland,10.817,27.828,10.791,81.563,6.757,101.77,91.306,64.912,22.352,1.842,23.678,47.583,37.877,65.467,52.851,13.45,47.332,5.655,8.679,2.514,29.651,47.192,38.768,91.285,98.774,10.115,64.55,110.584,29.126,5.068,8.517,7.048,69.876,82.358,69.544,19.051,83.368,70.557,117.893,7.062,30.341,25.005,26.818,105.714,14.496,88.908,2.769,40.477,29.264,32.156,115.651,81.229,101.99,58.483,16.072,1
1231,Fuzbhwuville,Bhrsnland,5.024,42.6,9.286,87.11,118.089,28.996,13.945,6.559,39.443,1.124,51.173,36.084,60.13,8.727,120.525,7.846,66.498,25.753,55.033,2.368,94.048,71.951,41.798,69.317,29.502,14.62,25.703,35.608,29.796,1.857,30.895,14.533,46.496,128.327,21.508,22.347,125.504,83.365,4.559,55.159,100.474,19.525,39.859,2.836,36.358,68.843,75.892,11.963,52.852,71.461,27.239,5.615,84.868,49.229,71.339,1
1232,Putpatbville,Qanoland,14.23,41.571,7.896,0.935,29.102,60.615,30.071,14.332,52.824,2.455,1.027,21.576,100.497,68.487,85.417,70.816,39.888,71.277,41.154,0.566,35.5,39.259,82.984,28.139,72.983,76.252,65.857,90.303,54.51,1.683,54.948,71.557,97.391,52.401,120.166,25.942,18.312,2.348,31.442,34.497,10.26,70.586,85.557,23.784,20.399,50.594,3.47,68.054,127.595,82.039,105.202,29.033,127.429,5.207,9.656,1
1233,Khypvpywville,Uahnbkland,13.301,37.229,8.448,35.469,116.346,43.059,100.005,5.297,23.51,1.373,1.29,27.582,6.426,112.556,128.071,143.012,127.002,62.346,33.769,1.91,36.018,86.479,22.386,3.105,94.719,13.935,27.143,64.925,35.842,4.747,70.785,20.173,26.462,34.875,74.853,5.722,96.929,99.221,126.412,105.93,32.099,78.688,55.418,119.451,35.214,5.592,76.837,127.221,2.001,113.99,33.594,11.48,114.783,11.002,11.61,1
1234,Flbeoville,Ljkphland,9.216,35.829,10.649,66.886,34.195,8.005,52.152,29.736,42.603,1.929,102.117,15.148,46.572,2.768,43.462,74.953,89.524,99.638,47.586,2.169,43.601,82.722,32.676,0.751,45.325,59.081,88.771,8.239,16.488,3.198,18.825,70.433,0.615,59.673,20.966,92.518,31.62,22.071,125.029,60.138,25.914,20.512,91.294,41.804,9.305,8.702,21.48,47.196,58.899,113.313,86.919,12.938,56.379,14.809,103.516,1
1235,Luwmfmtwville,Xbdtland,11.039,48.127,11.146,14.319,135.618,6.076,99.604,51.163,15.489,1.276,28.841,86.916,109.483,71.044,121.122,56.776,84.239,21.907,117.093,0.895,0.454,106.485,99.551,12.773,106.459,129.858,77.849,30.693,98.963,1.717,13.194,59.144,50.059,44.031,6.077,40.113,45.521,47.427,61.662,69.734,46.821,2.761,49.312,123.139,16.175,54.037,18.103,61.753,31.239,92.814,0.363,57.245,118.773,55.535,21.868,1
1236,Agbizvzville,Kfcfdcland,10.612,42.389,7.305,7.956,131.826,1.526,27.953,56.757,34.461,1.31,125.817,58.448,31.003,46.91,31.275,91.028,48.528,10.27,96.379,0.505,85.166,46.43,67.09,18.297,55.163,1.644,59.792,46.279,105.996,2.871,62.68,65.192,102.549,44.669,15.97,44.492,43.697,9.484,79.386,42.708,65.487,2.829,89.571,13.357,129.195,66.253,17.536,71.393,30.971,1.881,42.618,16.497,45.07,29.777,8.685,1
1237,Jzzgyyfkville,Jeghland,4.665,30.882,7.399,22.757,27.014,17.559,19.075,55.562,18.202,2.15,1.347,19.134,5.511,43.201,2.792,102.948,25.693,48.693,30.307,1.089,140.302,37.916,12.756,0.739,75.351,8.608,140.776,56.457,47.371,3.199,45.563,16.298,55.898,27.64,72.229,0.232,11.307,6.737,46.01,28.196,37.703,27.027,70.647,18.094,24.831,45.92,54.554,26.783,19.182,43.063,12.035,53.594,71.691,76.111,23.137,1
1238,Udhwuville,Bhrsnland,8.932,29.872,5.071,50.022,18.49,50.557,24.78,86.544,60.978,0.938,28.855,54.967,78.533,42.562,86.122,4.804,19.338,24.003,11.516,2.152,33.219,13.391,65.794,67.221,50.039,115.043,58.246,20.57,11.409,0.457,43.346,67.17,41.396,12.946,10.679,28.719,57.709,43.251,52.558,101.072,81.967,131.6,24.367,54.725,71.891,26.023,24.556,18.173,51.126,12.027,44.926,76.931,7.79,14.942,23.786,1
1239,Xqfodville,Zaikland,8.536,32.075,8.049,50.59,10.146,2.998,1.246,21.99,99.741,1.734,78.477,66.35,143.204,16.729,4.531,48.904,104.553,10.896,42.476,2.688,8.113,18.832,54.043,29.052,39.515,15.52,57.632,21.338,120.325,0.07,93.818,15.831,0.667,80.193,45.636,44.071,74.197,135.302,90.861,119.326,66.748,38.439,38.203,18.955,30.552,88.827,83.214,25.934,62.954,4.31,23.787,19.288,22.372,107.391,19.557,0
1240,Fphkrzville,Ajlqkhland,13.328,31.765,9.061,53.683,97.506,46.778,69.961,15.488,78.302,1.357,27.417,22.522,83.305,24.201,93.192,90.519,69.93,84.635,0.251,2.894,63.039,5.189,4.013,64.216,13.32,95.419,4.78,66.08,96.985,1.456,6.358,21.227,95.793,17.777,69.547,68.011,12.831,76.859,121.076,117.535,29.042,115.68,62.63,113.782,46.659,9.232,30.654,24.991,6.421,77.509,45.807,134.566,46.705,72.976,29.881,1
1241,Smlfthcville,Duufland,10.726,38.413,11.432,44.302,1.969,30.064,6.253,35.227,40.609,2.065,26.264,29.484,88.649,53.252,87.002,15.055,52.716,18.196,84.695,2.183,22.449,9.635,91.052,9.037,44.682,14.723,44.759,11.405,19.682,2.153,5.167,25.05,118.556,58.713,29.774,30.33,47.854,65.409,31.866,28.311,23.068,49.272,58.736,8.573,53.037,6.473,36.808,117.46,5.061,4.327,34.144,88.182,14.766,13.733,80.865,1
1242,Xcxhsismville,Ozmssland,8.759,37.559,9.547,80.475,5.258,101.709,66.3,37.145,42.381,1.628,71.883,43.887,30.123,31.441,23.796,27.664,16.519,82.21,18.294,1.873,2.354,41.737,24.705,62.419,46.863,6.659,16.58,64.634,16.194,3.375,1.512,34.861,6.536,85.373,50.272,102.76,14.588,16.745,21.588,58.095,56.008,26.221,37.67,73.285,65.374,28.158,24.216,118.869,25.636,13.406,7.684,50.333,41.387,34.68,79.912,1
1243,Jjckkkaville,Xfvzvland,5.092,41.36,5.881,49.857,5.696,26.913,112.518,26.293,37.502,1.44,65.825,37.33,94.785,37.359,11.476,82.817,45.165,80.605,3.612,2.007,79.007,64.477,96.086,27.648,95.964,39.377,35.478,117.77,60.087,3.957,12.159,12.507,15.828,63.11,20.482,58.726,79.806,51.875,38.767,14.594,40.815,14.66,58.668,119.429,62.815,41.343,10.268,46.32,7.389,65.969,16.396,113.046,16.9,138.901,48.283,0
1244,Lxvlsville,Flippland,11.774,44.229,8.031,111.885,11.035,102.984,4.348,26.365,5.284,2.063,45.956,125.256,29.883,66.945,17.601,71.259,94.116,14.699,52.68,2.313,105.435,65.239,51.915,32.174,5.59,10.293,3.717,46.344,13.531,2.701,121.487,39.386,60.16,106.146,16.817,55.615,3.524,83.833,6.539,66.229,9.532,0.497,14.387,53.535,67.131,120.088,94.479,50.675,35.891,105.462,137.588,55.605,10.457,45.013,22.865,1
1245,Bicrebiville,Rgjaland,9.369,44.542,6.727,48.375,32.642,17.071,17.476,21.952,86.863,1.242,38.048,66.372,27.909,63.032,107.31,37.06,56.217,87.817,69.725,1.006,112.518,87.395,74.234,3.052,101.381,82.402,82.945,63.671,132.288,2.928,58.888,45.544,18.98,54.401,99.955,63.839,73.424,92.108,63.5,32.693,41.61,34.624,61.189,100.616,47.098,4.862,51.368,65.773,96.152,60.795,25.307,44.847,24.165,58.318,41.078,0
1246,Ovvwyville,Mytsland,12.875,31.406,7.426,93.14,17.625,33.754,130.366,83.338,30.723,1.942,20.363,102.741,11.318,14.399,117.926,42.59,39.876,24.024,26.28,0.47,18.702,118.201,10.157,48.009,135.476,43.397,115.204,125.576,45.794,4.198,38.192,10.739,18.399,22.972,29.181,71.008,42.372,88.563,15.928,17.191,11.156,121.798,1.265,10.271,75.754,1.333,21.567,48.424,58.062,82.915,97.926,1.972,71.537,38.503,70.881,0
1247,Dmnzuyville,Uqmysxland,10.21,24.745,7.896,92.861,64.476,81.09,52.647,65.015,34.663,1.533,69.479,19.857,39.519,74.284,41.914,12.847,46.538,25.9,14.657,2.13,122.851,137.003,26.93,21.298,39.598,14.286,95.812,10.579,11.162,0.07,10.335,61.537,143.333,72.792,56.997,35.758,106.103,0.634,30.075,14.965,17.977,40.7,83.673,36.553,54.172,54.813,69.101,110.132,52.229,59.703,7.21,5.821,54.281,79.793,133.288,1
1248,Fuzbhwuville,Ozmssland,6.77,36.528,7.812,26.605,78.191,30.572,25.863,82.872,107.791,1.845,25.478,9.882,42.709,6.8,57.352,45.825,10.006,89.041,31.861,2.512,28.929,1.155,9.726,33.005,110.557,55.031,101.219,35.725,88.15,2.199,10.204,57.237,53.913,118.125,8.512,91.27,43.785,22.935,89.892,58.751,51.75,70.67,64.578,60.49,127.082,0.47,78.471,50.701,82.279,60.99,62.036,8.538,2.735,19.584,91.833,1
1249,Agbizvzville,Kfcfdcland,12.761,25.918,10.533,12.287,75.792,19.247,77.712,3.978,91.428,1.516,63.012,79.911,19.437,28.293,58.342,43.308,4.346,38.512,41.327,2.139,67.93,64.032,63.881,19.305,88.204,80.19,33.112,112.806,7.035,2.25,22.571,13.952,44.927,29.626,124.841,109.978,12.241,13.467,120.615,23.073,8.439,106.746,64.949,76.478,76.364,38.786,104.869,81.432,7.471,71.167,6.579,70.125,50.701,37.738,119.425,1
1250,Agdmrville,Ewsszkland,14.242,26.188,9.819,27.714,24.122,21.442,34.651,13.097,44.906,0.951,48.685,38.848,74.442,30.747,93.356,78.551,74.614,11.075,28.834,0.4,37.927,79.483,104.483,39.633,96.921,39.131,2.466,58.834,98.554,1.807,10.083,3.375,53.268,45.647,66.267,40.317,39.709,84.098,21.362,62.904,9.883,16.765,19.292,36.387,98.936,85.333,27.897,58.032,36.302,8.252,39.612,93.608,22.022,25.15,54.407,0
1251,Szayrville,Krstryland,9.57,36.88,8.337,94.139,9.774,56.253,105.604,105.69,75.403,1.677,27.901,28.732,75.219,34.974,48.043,83.449,75.114,9.747,0.639,0.245,64.995,78.415,63.953,44.86,35.015,52.875,39.198,78.06,23.893,3.109,38.832,51.575,36.11,86.533,31.157,70.513,73.467,25.654,45.523,25.204,44.735,40.546,4.288,43.507,45.033,52.282,88.479,62.833,73.036,40.931,13.061,114.065,5.737,100.74,34.009,1
1252,Vbisoacville,Ekyiqgland,11.83,31.774,11.373,82.476,63.892,37.74,9.053,26.075,19.943,0.95,84.881,60.222,30.411,14.223,4.302,7.486,57.318,54.797,46.067,2.186,17.133,64.386,6.46,3.974,16.613,26.243,16.073,26.758,7.373,1.881,84.211,24.183,32.886,48.975,6.275,10.529,57.815,25.409,16.632,20.509,80.03,39.503,1.872,13.071,28.584,14.365,33.867,65.134,131.387,33.111,78.42,116.625,69.457,78.406,28.95,1
1253,Xbdztusville,Uahnbkland,6.02,25.022,11.798,109.363,4.615,8.347,16.929,0.092,86.98,1.326,44.691,83.227,94.878,79.94,12.446,121.43,50.852,117.797,76.635,3.374,45.341,16.455,29.027,77.502,52.875,34.069,32.406,40.188,1.027,0.902,55.202,62.346,21.243,21.453,74.449,43.263,142.817,45.821,38.699,63.641,60.95,43.837,14.213,12.611,59.674,83.539,14.265,61.669,22.023,34.14,104.454,79.403,46.41,112.463,16.653,1
1254,Xbdztusville,Mytsland,8.873,31.121,9.639,47.322,55.779,67.176,13.633,76.989,29.906,1.222,68.461,87.23,9.297,33.915,9.106,13.557,95.17,31.194,30.929,2.293,11.87,54.941,48.187,1.037,26.123,22.978,27.546,82.325,30.885,1.472,60.333,41.612,37.69,15.38,58.803,71.569,4.156,0.724,63.712,39.959,61.55,48.316,22.023,47.247,26.154,40.468,41.701,22.026,20.178,35.63,69.297,5.772,60.991,63.768,70.094,1
1255,Alyptville,Krstryland,10.504,31.702,11.035,7.347,61.649,47.24,70.285,9.655,18.5,1.864,29.431,30.983,40.738,73.481,117.373,10.981,36.586,106.561,34.967,1.557,19.102,47.556,61.471,34.427,26.017,45.712,90.459,16.165,89.2,2.924,11.952,103.772,101.243,57.531,39.497,94.369,32.867,32.683,107.888,24.044,76.822,43.988,3.443,72.529,89.245,30.88,115.377,57.664,47.226,54.794,59.877,19.69,81.445,57.36,30.965,1
1256,Khypvpywville,Gxxbnqland,13.471,27.889,9.552,47.218,47.941,44.704,36.577,60.648,46.457,1.399,31.672,106.094,60.025,9.223,8.065,53.57,53.228,16.786,27.765,1.644,84.995,59.003,0.181,20.39,70.933,2.716,2.392,10.698,118.139,4.856,98.145,43.8,130.291,57.38,2.988,22.812,95.149,22.849,50.015,38.819,7.4,41.686,12.962,5.504,13.856,88.553,74.834,101.975,12.721,91.831,53.19,50.721,67.63,101.672,94.652,1
1257,Mffvdville,Dlemtmland,7.409,36.219,11.512,41.994,53.83,52.549,27.591,57.315,109.035,1.08,44.212,54.364,33.954,39.933,94.958,17.161,145.728,40.256,76.79,1.992,44.85,119.765,31.796,68.329,93.576,82.365,50.527,21.034,14.895,0.581,32.984,48.093,50.559,42.052,116.708,90.549,15.137,93.398,24.77,138.652,91.772,39.942,22.02,32.806,88.311,40.201,50.287,91.659,58.358,53.477,55.484,15.083,112.518,6.493,99.425,0
1258,Xbdztusville,Flippland,12.8,45.217,7.634,41.95,14.284,49.516,37.434,26.438,3.661,2.675,44.344,76.92,49.588,11.531,18.016,90.674,69.354,2.151,12.783,1.07,105.204,9.637,17.068,27.3,42.644,24.551,80.56,86.068,4.83,4.816,74.199,54.559,50.091,13.187,55.926,83.116,66.755,76.005,0.283,43.275,59.602,42.311,45.71,47.885,25.063,130.124,36.896,106.06,86.415,77.978,64.118,71.328,58.467,25.198,74.294,1
1259,Unzyomkville,Txvvland,10.903,37.697,12.293,15.303,34.349,109.55,75.701,20.918,57.48,1.494,46.533,16.706,43.846,67.122,32.881,20.189,57.044,12.474,83.209,1.652,124.676,19.227,3.288,2.137,60.692,4.833,15.848,5.414,83.146,5.71,38.646,49.449,39.336,109.849,105.743,64.592,85.66,113.319,46.9,69.93,40.23,93.17,37.722,87.629,28.635,69.628,8.932,1.143,95.338,64.022,70.052,28.207,0.93,69.152,29.595,1
1260,Fbfvbvville,Xbdtland,10.575,36.851,8.637,18.065,51.791,119.529,20.913,49.537,13.68,1.816,69.393,23.193,10.672,26.724,83.334,80.364,51.368,40.523,29.313,0.669,5.847,17.677,32.443,50.01,92.669,10.405,28.762,38.115,18.037,2.995,10.574,88.406,15.851,108.857,117.909,23.631,51.775,82.197,41.289,45.882,55.968,9.585,67.575,112.376,19.064,144.276,40.902,6.266,89.74,31.363,23.727,36.343,143.903,33.054,63.421,0
1261,Smlfthcville,Jeghland,10.98,47.717,8.058,91.829,7.641,131.673,76.406,48.506,4.479,1.305,10.879,61.719,76.743,118.248,4.945,15.515,44.411,44.58,81.406,1.694,51.294,19.013,64.834,68.412,103.311,15.048,54.901,46.283,40.187,1.008,72.705,21.006,50.236,38.667,15.731,29.383,11.081,4.131,84.368,56.617,47.346,82.809,16.463,62.883,11.317,14.41,56.131,126.148,43.183,22.23,21.087,70.739,88.051,12.302,47.828,1
1262,Axdldqjtville,Xbdtland,9.147,35.407,6.579,1.18,56.231,93.303,53.712,27.408,52.891,1.422,66.865,27.346,53.528,37.972,125.641,68.402,30.894,44.984,18.738,1.012,122.501,0.915,2.883,27.93,65.973,38.309,42.239,110.649,73.888,2.065,15.485,11.663,98.473,55.197,21.973,105.553,16.728,24.973,19.203,13.826,16.105,17.02,55.923,110.936,44.704,0.249,46.613,94.951,36.339,60.851,5.506,7.829,44.672,60.69,52.853,1
1263,Jjckkkaville,Kfcfdcland,11.46,39.115,5.927,2.841,44.966,7.711,19.246,63.6,41.781,0.75,8.921,3.612,70.314,84.429,28.679,68.789,13.962,44.018,65.21,1.728,48.227,103.793,85.737,35.506,109.117,88.742,51.223,76.907,14.214,2.769,71.206,1.075,115.337,32.212,80.987,36.44,21.956,72.817,71.788,25.122,9.757,13.677,15.888,61.669,66.964,8.946,75.272,21.408,62.553,13.956,39.121,71.171,9.621,99.404,39.8,1
1264,Bmvijifsville,Ojbdaland,6.269,38.241,8.278,102.424,79.898,64.458,90.103,33.616,92.763,0.7,61.619,47.075,40.602,48.007,56.497,34.503,50,72.661,61.79,2.009,84.281,49.81,43.071,30.152,84.471,52.014,112.35,12.599,124.364,4.723,22.25,10.833,50.401,90.321,81.115,43.532,0.158,42.448,78.729,21.847,25.37,86.757,6.24,102.001,5.717,43.69,4.835,76.221,38.129,117.693,44.256,112.617,55.102,90.47,43.136,1
1265,Bopomkeyville,Bnqvztland,9.773,32.196,8.986,2.726,12.98,110.748,2.138,27.255,32.597,2.088,56.69,58.416,50.92,11.095,49.719,100.017,42.372,24.181,89.604,1.936,93.031,72.885,127.213,57.926,25.356,4.011,32.061,21.23,71.499,2.064,2.465,21.036,61.297,22.888,70.363,8.54,60.809,74.399,15.576,36.81,31.931,0.19,27.442,16.902,88.696,26.467,102.627,14.965,54.795,44.954,20.247,11.968,85.917,1.615,110.105,1
1266,Dmnzuyville,Duufland,11.824,36.622,11.461,46.713,124.955,35.892,29.376,52.029,41.151,1.917,3.651,59.686,47.968,30.323,100.831,59.186,67.67,49.115,91.476,1.414,49.223,95.479,1.899,72.106,69.429,19.628,12.972,51.236,49.899,2.662,44.557,61.542,72.746,14.186,62.831,13.679,19.65,31.991,29.804,107.196,2.129,18.862,16.801,79.525,81.86,121.037,42.508,29.291,79.513,15.776,104,71.546,59.019,35.565,58.316,1
1267,Edoeqrxville,Flippland,11.582,26.274,9.968,8.386,91.91,113.161,77.884,8.704,56.607,2.257,71.59,85.398,3.972,35.713,35.609,96.384,37.703,69.915,66.323,2.211,12.649,47.541,72.56,16.318,65.608,34.091,16.08,25.22,17.11,0.954,49.875,36.473,53.098,65.429,38.338,73.178,44.279,25.661,96.109,26.34,73.834,80.115,89.106,8.912,61.412,79.382,29.846,85.814,43.907,48.582,50.553,27.069,33.593,30.256,22.102,1
1268,Hocgneqfville,Jdeihbland,10.555,26.045,8.27,74.837,52.578,28.664,49.236,86.249,42.244,1.664,75.866,97.857,55.433,21.002,86.864,32.232,4.279,9.433,60.054,3.321,83.97,132.239,32.407,97.305,29.122,4.98,80.795,21.782,54.024,3.005,49.763,0.173,39.631,50.043,13.088,49.653,54.436,59.343,42.569,58.474,60.463,61.073,19.755,18.275,18.214,56.572,96.789,7.11,66.891,20.088,83.809,66.53,72.067,1.683,67.145,1
1269,Jjckkkaville,Srkaland,11.025,43.221,8.639,95.98,4.953,57.946,51.881,2.541,26.345,1.229,18.905,60.38,81.622,36.035,26.414,11.038,47.999,33.393,40.248,1.79,46.996,40.526,11.428,15.475,39.266,34.812,108.827,49.805,60.717,3.127,20.003,46.642,73.179,36.996,47.061,98.293,64.938,2.869,63.504,51.502,1.373,16.848,83.694,58.426,51.596,1.127,80.324,27.216,57.815,23.936,52.418,65.488,109.382,14.752,97.047,1
1270,Bopomkeyville,Fqrgzland,7.996,34.078,7.984,36.012,29.266,48.492,36.13,44.33,9.718,0.664,57.307,58.067,72.88,44.54,74.586,56.929,9.335,43.667,55.91,2.261,22.765,13.689,23.468,70.95,54.034,9.048,59.059,41.113,10.677,3.191,136.429,5.344,27.497,55.458,51.743,72.113,23.174,9.913,84.339,11.281,10.926,37.069,112.061,75.966,81.427,11.504,26.174,73.082,65.376,32.195,14.232,79.876,88.949,1.538,17.111,1
1271,Axdldqjtville,Qanoland,16.569,42.782,10.666,34.349,35.9,49.54,40.03,70.532,17.835,1.887,51.999,41.732,70.075,48.979,33.391,23.361,3.579,54.397,55.149,1.26,58.467,8.284,62.592,28.06,61.573,2.889,13.38,29.268,71.008,4.392,11.377,24.479,50.209,25.183,65.837,10.578,27.363,90.442,6.087,8.027,38.578,15.778,10.961,8.366,60.442,105.384,41.372,87.761,51.002,69.272,9.715,44.858,114.983,66.159,45.094,1
1272,Xvxypcyville,Xnrealand,14.59,36.764,7.778,52.952,104.121,34.778,70.718,50.998,7.063,1.033,39.428,27.014,60.601,13.899,16.86,63.252,13.926,57.967,23.835,1.244,121.686,48.235,81.799,10.192,63.731,27.845,85.523,61.464,8.985,1.11,59.17,64.397,5.672,77.392,51.044,119.627,39.01,43.034,22.115,17.438,12.197,38.31,14.613,60.655,67.04,131.543,109.757,41.645,60.66,47.328,88.516,11.51,28.489,82.942,47.71,1
1273,Xcxhsismville,Dlemtmland,8.294,35.784,9.204,4.9,18.241,60.467,40.326,42.587,11.769,1.637,48.609,20.036,98.443,82.119,120.829,104.633,27.139,38.532,52.541,2.131,95.923,37.156,52.528,18.027,113.89,30.96,20.031,56.888,46.565,3.011,32.41,38.218,49.256,57.561,40.625,62.925,25.602,42.773,97.678,64.09,41.389,53.343,22.379,69.977,19.218,25.571,68.478,10.181,19.389,56.26,18.288,7.922,35.068,6.77,19.294,1
1274,Xcxhsismville,Edxbsland,4.96,45.428,8.333,65.647,33.034,94.368,53.376,41.628,13.961,1.745,10.051,7.176,19.683,32.667,84.791,3.094,23.086,8.376,79.318,2.009,72.828,53.265,21.034,51.796,12.723,49.484,48.498,89.856,20.983,0.925,29.099,44.084,19.446,132.747,47.964,22.241,34.529,5.948,121.263,108.778,105.45,5.32,7.169,3.12,141.13,87.233,10.936,43.168,36.414,67.364,2.68,126.93,41.906,31.608,27.166,0
1275,Lgmiexiville,Wfcxbland,15.763,43.357,6.949,33.193,25.749,8.916,65.581,25.799,72.574,2.118,118.57,134.386,130.529,47.498,108.66,34.237,117.071,17.781,60.252,1.722,47.669,45.925,97.425,29.591,83.412,117.108,41.472,64.923,88.832,4.84,55.356,1.365,14.06,51.837,50.797,31.133,102.062,40.861,38.593,64.567,81.718,87.708,84.845,28.393,91.778,36.163,49.338,59.393,61.749,67.463,48.331,18.856,26.424,103.193,78.676,0
1276,Fuzbhwuville,Ajqegzland,10.206,36.931,5.962,72.094,37.57,68.792,122.111,35.058,80.055,2.008,71.792,30.295,16.828,72.566,92.019,55.63,69.713,30.604,30.524,1.49,75.876,6.234,51.622,106.888,38.78,12.773,40.194,52.011,23.803,3.684,35.417,14.813,16.95,9.737,60.408,47.899,2.285,62.565,66.082,3.558,44.5,47.7,0.665,63.48,108.803,7.831,70.507,85.336,71.18,68.261,64.837,9.217,74.976,81.868,22.71,1
1277,Fmmzbcjjville,Bqcpland,9.421,34.627,7.831,23.15,79.776,73.182,13.324,65.07,82.301,1.386,60.575,68.402,94.306,40.405,70.537,40.797,76.175,68.461,7.814,2.309,61.688,42.158,49.921,28.357,53.733,87.404,11.612,79.492,91.452,3.642,52.502,22.551,62.791,24.298,13.502,46.909,29.415,61.606,117.241,2.445,47.63,6.359,35.704,42.439,117.573,33.256,66.39,50.8,7.301,62.627,10.978,32.92,38.174,5.849,87.367,0
1278,Bmvijifsville,Oexcsiland,10.113,35.25,9.438,79.134,35.566,142.351,91.87,13.418,50.74,1.664,50.917,81.898,108.615,124.827,44.897,20.756,3.93,7.074,20.71,0.888,57.964,22.385,30.126,63.064,116.482,77.46,71.674,81.324,40.656,3.329,88.522,55.06,2.309,50.785,42.671,138.278,30.062,49.96,40.88,17.57,88.374,12.207,36.342,59.995,79.836,58.765,36.896,54.172,29.76,43.948,36.756,40.883,56.251,87.456,30.25,1
1279,Innryeoville,Ojbdaland,10.15,39.342,7.495,71.91,99.575,8.267,43.496,13.487,7.581,1.107,94.219,68.625,101.934,55.795,64.875,18.845,21.608,36.381,65.663,2.196,1.295,42.323,62.298,24.48,42.811,74.426,57.147,93.227,13.024,0.691,95.262,6.861,38.688,19.861,40.428,49.646,72.762,26.904,76.432,91.934,46.425,67.948,96.504,72.166,18.985,26.843,5.296,10.82,78.729,127.459,57.949,1.394,50.833,44.567,133.423,1
